antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'JUMBO BAG WOODLAND ANIMALS'}),frozenset({'POSTAGE'}),0.07653061224489796,0.7653061224489796,0.07653061224489796,1.0,1.3066666666666666,0.017961266139108707,inf
"frozenset({'RED TOADSTOOL LED NIGHT LIGHT', 'PLASTERS IN TIN CIRCUS PARADE'})",frozenset({'POSTAGE'}),0.05102040816326531,0.7653061224489796,0.05102040816326531,1.0,1.3066666666666666,0.011974177426072471,inf
"frozenset({'RED TOADSTOOL LED NIGHT LIGHT', 'PLASTERS IN TIN WOODLAND ANIMALS'})",frozenset({'POSTAGE'}),0.05357142857142857,0.7653061224489796,0.05357142857142857,1.0,1.3066666666666666,0.012572886297376094,inf
"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER CUPS'})",frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.10204081632653061,0.12755102040816327,0.09948979591836735,0.975,7.643999999999999,0.0864743856726364,34.89795918367344
"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER PLATES'})",frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.10204081632653061,0.1377551020408163,0.09948979591836735,0.975,7.077777777777778,0.08543315285297792,34.489795918367314
"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'POSTAGE', 'SET/6 RED SPOTTY PAPER CUPS'})",frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.08418367346938775,0.12755102040816327,0.08163265306122448,0.9696969696969696,7.602424242424242,0.07089493960849645,28.790816326530532
"frozenset({'SET/20 RED RETROSPOT PAPER NAPKINS', 'SET/6 RED SPOTTY PAPER PLATES', 'POSTAGE'})",frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.08418367346938775,0.1377551020408163,0.08163265306122448,0.9696969696969696,7.0392817059483725,0.07003592253227821,28.454081632652983
frozenset({'RED RETROSPOT PICNIC BAG'}),frozenset({'POSTAGE'}),0.07142857142857142,0.7653061224489796,0.06887755102040816,0.9642857142857142,1.26,0.014212827988338193,6.571428571428555
frozenset({'SET OF 9 BLACK SKULL BALLOONS'}),frozenset({'POSTAGE'}),0.0663265306122449,0.7653061224489796,0.06377551020408163,0.9615384615384615,1.2564102564102564,0.013015410245730948,6.102040816326518
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.12755102040816327,0.1377551020408163,0.12244897959183673,0.96,6.968888888888889,0.10487817576009996,21.556122448979572
frozenset({'PACK OF 6 SKULL PAPER CUPS'}),frozenset({'POSTAGE'}),0.06377551020408163,0.7653061224489796,0.061224489795918366,0.96,1.2544,0.012416701374427325,5.867346938775506
frozenset({'RETROSPOT PARTY BAG + STICKER SET'}),frozenset({'POSTAGE'}),0.061224489795918366,0.7653061224489796,0.058673469387755105,0.9583333333333334,1.2522222222222223,0.011817992503123702,5.632653061224496
frozenset({'GUMBALL COAT RACK'}),frozenset({'POSTAGE'}),0.058673469387755105,0.7653061224489796,0.05612244897959184,0.9565217391304347,1.249855072463768,0.011219283631820072,5.39795918367346
frozenset({'PACK OF 6 SKULL PAPER PLATES'}),frozenset({'POSTAGE'}),0.05612244897959184,0.7653061224489796,0.05357142857142857,0.9545454545454545,1.2472727272727273,0.010620574760516449,5.163265306122442
"frozenset({'SET/6 RED SPOTTY PAPER PLATES', 'POSTAGE'})",frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.10714285714285714,0.1377551020408163,0.10204081632653061,0.9523809523809524,6.913580246913582,0.08728134110787172,18.10714285714288
frozenset({'JAM MAKING SET PRINTED'}),frozenset({'POSTAGE'}),0.05357142857142857,0.7653061224489796,0.05102040816326531,0.9523809523809524,1.2444444444444447,0.010021865889212833,4.928571428571435
frozenset({'TEA PARTY BIRTHDAY CARD'}),frozenset({'POSTAGE'}),0.09438775510204081,0.7653061224489796,0.08928571428571429,0.945945945945946,1.2360360360360363,0.017050187421907545,4.341836734693887
frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),frozenset({'POSTAGE'}),0.12244897959183673,0.7653061224489796,0.11479591836734694,0.9375,1.225,0.021084964598084135,3.755102040816327
frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),frozenset({'POSTAGE'}),0.15816326530612246,0.7653061224489796,0.14795918367346939,0.9354838709677419,1.2223655913978495,0.026915868388171588,3.637755102040814
frozenset({'CHILDRENS CUTLERY SPACEBOY'}),frozenset({'CHILDRENS CUTLERY DOLLY GIRL'}),0.06887755102040816,0.07142857142857142,0.06377551020408163,0.925925925925926,12.962962962962965,0.05885568513119534,12.535714285714306
frozenset({'ASSORTED COLOUR MINI CASES'}),frozenset({'POSTAGE'}),0.06887755102040816,0.7653061224489796,0.06377551020408163,0.925925925925926,1.2098765432098768,0.011063098708871316,3.1683673469387807
